Order ID,Product ID,Qty
CA-2014-100090,FUR-TA-10003715,3
CA-2014-100090,OFF-BI-10001597,6
CA-2014-100293,OFF-PA-10000176,6
CA-2014-100328,OFF-BI-10000343,1
CA-2014-100363,OFF-FA-10000611,2
CA-2014-100363,OFF-PA-10004733,3
CA-2014-100391,OFF-PA-10001471,2
CA-2014-100678,FUR-CH-10002602,3
CA-2014-100678,OFF-AR-10001868,2
CA-2014-100678,TEC-AC-10000474,3
CA-2014-100706,FUR-FU-10002268,6
CA-2014-100706,TEC-AC-10001314,2
CA-2014-100762,OFF-AR-10000380,4
CA-2014-100762,OFF-LA-10003930,2
CA-2014-100762,OFF-PA-10001815,3
CA-2014-100762,OFF-PA-10004082,2
CA-2014-100860,OFF-LA-10001982,5
CA-2014-100867,TEC-PH-10004922,6
CA-2014-100881,TEC-PH-10003273,3
CA-2014-100895,OFF-ST-10001490,2
CA-2014-100895,TEC-PH-10001425,3
CA-2014-100916,FUR-TA-10004607,4
CA-2014-100916,OFF-AR-10001022,1
CA-2014-100916,OFF-ST-10003479,5
CA-2014-100972,OFF-PA-10000357,3
CA-2014-101147,OFF-AP-10004249,1
CA-2014-101175,OFF-ST-10004950,6
CA-2014-101266,OFF-PA-10002986,2
CA-2014-101364,OFF-BI-10003984,13
CA-2014-101392,OFF-ST-10000532,7
CA-2014-101427,OFF-AR-10002257,3
CA-2014-101462,FUR-FU-10000409,4
CA-2014-101476,TEC-MA-10000029,1
CA-2014-101560,FUR-FU-10003773,5
CA-2014-101560,OFF-AR-10004757,4
CA-2014-101560,OFF-PA-10001363,7
CA-2014-101602,FUR-CH-10004675,5
CA-2014-101602,TEC-PH-10000169,3
CA-2014-101770,OFF-BI-10001097,1
CA-2014-101833,OFF-PA-10003591,3
CA-2014-101931,FUR-BO-10001337,6
CA-2014-101931,OFF-BI-10004140,2
CA-2014-101931,OFF-ST-10003442,5
CA-2014-101931,OFF-SU-10000646,2
CA-2014-101931,OFF-SU-10002301,2
